850, back to gh back to dumsor amp the stress but also back to the people i love oh and this fufu joint  <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+393C><U+3E63> …,joy,neutral,,,,,,,,,,,,
851, back to gh back to dumsor amp the stress but also back to the people i love oh and this fufu joint  <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+393C><U+3E63> …,joy,neutral,,,,,,,,,,,,
852, back to gh back to dumsor amp the stress but also back to the people i love oh and this fufu joint  <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+393C><U+3E63> …,joy,neutral,,,,,,,,,,,,
853, back to gh back to dumsor amp the stress but also back to the people i love oh and this fufu joint  <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+393C><U+3E63> …,joy,neutral,,,,,,,,,,,,
854, back to gh back to dumsor amp the stress but also back to the people i love oh and this fufu joint  <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+393C><U+3E63> …,joy,neutral,,,,,,,,,,,,
855, back to gh back to dumsor amp the stress but also back to the people i love oh and this fufu joint  <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+393C><U+3E63> …,joy,neutral,,,,,,,,,,,,
856,back to gh back to dumsor amp the stress but also back to the people i love oh and this fufu joint  <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+393C><U+3E63> ,joy,neutral,,,,,,,,,,,,
912, some gh niggas gon be like i lost ma mom and pops and also grew up with dumsor such a struggle i had growing up<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E32><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E32><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E32>,joy,neutral,,,,,,,,,,,,
936, are dey writin de wassce in dumsor de kind of nation we r buildin   dnt care ,joy,neutral,,,,,,,,,,,,
941,are they writing the wassce in dumsor the kind of nation we are building,joy,neutral,,,,,,,,,,,,
1285,question will nana addo dozing off on live radio not even tv put food on my table fix dumsor fix all corrupt ,joy,neutral,,,,,,,,,,,,
1325,the npp is always taking solace in a volatile situation that happened around dumsor amp economic difficulties juxtaposing with our situation,joy,neutral,,,,,,,,,,,,
1326,some gh niggas gon be like i lost ma mom and pops and also grew up with dumsor such a struggle i had growing up<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E32><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E32><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E32>,joy,neutral,,,,,,,,,,,,
1331, niggas gon be like i lost ma mom and pops and also grew up with dumsor such a struggle i had growing up,joy,neutral,,,,,,,,,,,,
